"Kod stacji ";"Nazwa stacji";"Rok";"Miesiąc";"Dzień";"Średnia dobowa temperatura";"Średnia dobowa wilgotność względna";"Średnia dobowa prędkość wiatru [m/s]";"Średnie dobowe zachmurzenie ogólne [oktanty]"
252200150;"WARSZAWA-BIELANY";2020;1;1;"2.4";"89.5";"5.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;2;"1.3";"77.5";"3.3";"7.0"
252200150;"WARSZAWA-BIELANY";2020;1;3;"2.3";"75.3";"3.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;1;4;"3.3";"84.0";"5.0";"6.7"
252200150;"WARSZAWA-BIELANY";2020;1;5;".7";"79.5";"3.3";".7"
252200150;"WARSZAWA-BIELANY";2020;1;6;".3";"89.0";"3.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;7;"1.6";"79.5";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;8;"3.6";"86.8";"3.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;1;9;"5.7";"92.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;10;"7.4";"94.8";"4.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;11;"6.1";"82.0";"3.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;12;"3.8";"78.0";"3.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;1;13;"4.7";"84.5";"3.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;14;"3.8";"79.5";"2.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;1;15;"5.4";"61.8";"2.7";"1.3"
252200150;"WARSZAWA-BIELANY";2020;1;16;"5.1";"75.8";"3.0";"1.0"
252200150;"WARSZAWA-BIELANY";2020;1;17;".1";"95.5";"3.7";"4.3"
252200150;"WARSZAWA-BIELANY";2020;1;18;"3.1";"87.5";"2.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;19;"3.2";"87.5";"1.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;1;20;"2.4";"82.8";"3.3";"7.0"
252200150;"WARSZAWA-BIELANY";2020;1;21;"2.1";"81.0";"5.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;1;22;"3.1";"86.3";"4.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;1;23;"1.0";"91.3";"3.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;24;".9";"82.3";"3.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;1;25;".8";"97.0";"3.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;26;".4";"93.5";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;27;"1.2";"88.0";"2.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;1;28;"2.6";"85.3";"3.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;1;29;"2.5";"84.5";"4.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;30;"3.0";"87.5";"4.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;1;31;"5.7";"90.5";"4.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;2;1;"9.1";"77.5";"3.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;2;2;"7.1";"78.8";"5.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;2;3;"3.7";"79.0";"3.0";"3.7"
252200150;"WARSZAWA-BIELANY";2020;2;4;"4.6";"90.8";"2.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;2;5;".8";"81.3";"3.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;2;6;"2.4";"92.5";"3.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;2;7;".3";"84.8";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;2;8;".8";"63.3";"2.3";".7"
252200150;"WARSZAWA-BIELANY";2020;2;9;"2.8";"72.3";"2.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;2;10;"6.6";"78.0";"5.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;2;11;"3.9";"83.8";"4.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;2;12;"3.7";"66.3";"5.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;2;13;"3.3";"70.0";"3.7";"3.7"
252200150;"WARSZAWA-BIELANY";2020;2;14;"1.4";"96.3";"1.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;2;15;"1.2";"88.8";"2.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;2;16;"6.4";"67.0";"3.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;2;17;"11.2";"52.5";"4.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;2;18;"6.1";"76.8";"4.3";"6.0"
252200150;"WARSZAWA-BIELANY";2020;2;19;"5.5";"69.3";"2.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;2;20;"4.3";"80.0";"2.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;2;21;"3.9";"75.5";"3.7";"6.3"
252200150;"WARSZAWA-BIELANY";2020;2;22;"5.1";"68.0";"4.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;2;23;"5.8";"83.3";"4.0";"7.0"
252200150;"WARSZAWA-BIELANY";2020;2;24;"3.8";"82.8";"4.7";"6.3"
252200150;"WARSZAWA-BIELANY";2020;2;25;"6.4";"88.3";"3.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;2;26;"5.6";"82.8";"2.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;2;27;"2.5";"81.3";"3.0";"3.7"
252200150;"WARSZAWA-BIELANY";2020;2;28;"2.2";"83.0";"2.7";"6.3"
252200150;"WARSZAWA-BIELANY";2020;2;29;"4.0";"71.5";"4.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;3;1;"8.3";"62.0";"3.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;3;2;"5.5";"91.3";"3.0";"7.7"
252200150;"WARSZAWA-BIELANY";2020;3;3;"6.5";"83.0";"2.7";"8.0"
