UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
112512738,57243,2021-03-03 23:41:47,2021-03-04 00:00:34,Plac Grunwaldzki / Polaka,Poza stacj¹,19
112512783,57434,2021-03-03 23:46:14,2021-03-04 00:00:41,Bezpieczna/Jugos³awiañska,Kurkowa / Dubois,15
112512778,650040,2021-03-03 23:45:30,2021-03-04 00:02:33,al. Kochanowskiego / Kopernika,Rondo Reagana,18
112512869,57441,2021-03-03 23:53:59,2021-03-04 00:05:08,Plac Œwiêtego Macieja / Trzebnicka,Nowowiejska / Górnickiego,12
112512830,651044,2021-03-03 23:50:10,2021-03-04 00:07:12,Powstañców Œl¹skich/Orla,Szewska / Kazimierza Wielkiego ,18
112512876,57456,2021-03-03 23:54:37,2021-03-04 00:07:37,Na Ostatnim Groszu,Lotnicza / Metalowców,13
112512961,57609,2021-03-04 00:04:38,2021-03-04 00:07:48,"Paprotna / Obornicka, zajezdnia MPK",Bezpieczna / Obornicka,4
112512995,57280,2021-03-04 00:08:56,2021-03-04 00:10:20,Nowowiejska / Wyszyñskiego,Nowowiejska / Wyszyñskiego,2
112512992,650652,2021-03-04 00:08:13,2021-03-04 00:16:38,Rondo Reagana,Fosa Miejska ,9
112512998,651042,2021-03-04 00:09:04,2021-03-04 00:17:43,Zwyciêska / Agrestowa,Wa³brzyska - pêtla tramwajowa,9
112513034,57211,2021-03-04 00:12:43,2021-03-04 00:18:05,Drobnera / Plac Bema,Sienkiewicza / Piastowska,6
112513033,650561,2021-03-04 00:12:36,2021-03-04 00:18:11,Drobnera / Plac Bema,Sienkiewicza / Piastowska,6
112496148,650145,2021-03-03 16:54:44,2021-03-04 00:19:08,Grabiszyñska / Stalowa,Grabiszyñska / Aleja Hallera,445
112512964,650040,2021-03-04 00:05:01,2021-03-04 00:20:26,Rondo Reagana,Plac Jana Paw³a II (Akademia Muzyczna),16
112512982,57816,2021-03-04 00:07:02,2021-03-04 00:21:27,Gliniana / Gajowa,Plac Dominikañski (Galeria Dominikañska),15
112513062,651111,2021-03-04 00:18:25,2021-03-04 00:25:11,Fosa Miejska ,Plac Powstañców Œl¹skich,7
112513017,57003,2021-03-04 00:10:51,2021-03-04 00:27:28,Nowowiejska / Wyszyñskiego,Koœciuszki / Pu³askiego,17
112513088,57645,2021-03-04 00:22:45,2021-03-04 00:29:15,Drobnera / Plac Bema,Promenady Wroc³awskie,7
112513104,650557,2021-03-04 00:25:05,2021-03-04 00:31:58,Pereca / Grabiszyñska,Grabiszyñska / Magazynierska (Corte Verona),7
112513119,650352,2021-03-04 00:28:05,2021-03-04 00:33:01,Poniatowskiego / Oleœnicka,Nowowiejska / Wyszyñskiego,5
112512900,57632,2021-03-03 23:56:37,2021-03-04 00:34:42,Kraszewskiego / Trzebnicka,Kraszewskiego / Trzebnicka,39
112513116,651272,2021-03-04 00:27:22,2021-03-04 00:36:30,Promenady Wroc³awskie,Drobnera / Plac Bema,10
112513117,57102,2021-03-04 00:27:47,2021-03-04 00:36:36,Promenady Wroc³awskie,Drobnera / Plac Bema,9
112513149,57121,2021-03-04 00:33:35,2021-03-04 00:40:59,Drobnera / Plac Bema,Nowowiejska / Górnickiego,8
112513154,57267,2021-03-04 00:34:22,2021-03-04 00:43:29,Fosa Miejska ,Plac Powstañców Œl¹skich,10
112513200,57610,2021-03-04 00:41:15,2021-03-04 00:44:13,Nowowiejska / Górnickiego,Nowowiejska / Górnickiego,3
112513160,650885,2021-03-04 00:35:08,2021-03-04 00:44:33,Plac Legionów,Hubska / Prudnicka,10
112512554,57578,2021-03-03 23:26:29,2021-03-04 00:45:04,Plac Powstañców Œl¹skich,Szczêœliwa (Sky Tower),79
112513188,57655,2021-03-04 00:38:44,2021-03-04 00:47:39,Reymonta / Kleczkowska,Plac Uniwersytecki (UWr),9
112513174,57102,2021-03-04 00:37:07,2021-03-04 00:53:00,Drobnera / Plac Bema,¯elazna / Pereca,16
112513235,57816,2021-03-04 00:46:11,2021-03-04 00:54:19,Plac Dominikañski (Galeria Dominikañska),Koœciuszki / Pu³askiego,9
112513222,57011,2021-03-04 00:44:51,2021-03-04 00:55:14,Nowowiejska / Górnickiego,Plac Œwiêtego Macieja / Trzebnicka,11
112513295,650678,2021-03-04 00:59:35,2021-03-04 01:03:15,Sienkiewicza / Wyszyñskiego,Drobnera / Plac Bema,4
112513195,57559,2021-03-04 00:40:24,2021-03-04 01:05:50,Opolska / pêtla tramwajowa,Hubska / Prudnicka,26
112513315,650857,2021-03-04 01:03:44,2021-03-04 01:09:49,Drobnera / Plac Bema,Jagie³³y / Dmowskiego ,7
112513192,650935,2021-03-04 00:39:24,2021-03-04 01:11:46,"Paprotna / Obornicka, zajezdnia MPK",Zaporoska / Grabiszyñska,33
112513319,650516,2021-03-04 01:05:01,2021-03-04 01:12:49,Œwidnicka / Pi³sudskiego (Hotel Scandic),Plac Powstañców Œl¹skich,8
